"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","soybean",13.8847917390465
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","rice",4.8476767318654
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","maize",-0.744255618527795
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","wheat",5.72649423578099
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","soybean",13.6122028512453
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","rice",1.14713571594153
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","maize",-0.720944824186418
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","wheat",7.77784883461633
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","soybean",13.9053809431858
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","rice",1.05817190279059
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","maize",1.01627766473519
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","wheat",9.3569690587656
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","soybean",13.6334547623109
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","rice",-0.0439552595969935
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","maize",-0.0833591378437047
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","wheat",3.84982817477297
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","soybean",18.640879904931
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","rice",1.26281918278276
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","maize",0.0854659817380822
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","wheat",5.78702048592991
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","soybean",22.1142462788869
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","rice",6.00621041140464
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","maize",-0.751020274464287
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","wheat",10.2872385124061
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","soybean",14.1087537914377
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","rice",4.77211951802869
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","maize",0.996082857526044
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","wheat",11.2375706387692
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","soybean",11.2560532376255
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","rice",2.38682603101876
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","maize",-1.10815370325503
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","wheat",4.01543455962697
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","soybean",16.1110811892855
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","rice",1.71492489353919
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","maize",-1.8389401154968
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","wheat",4.86295166120581
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","soybean",17.2304085438507
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","rice",-1.50369304720052
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","maize",-1.96235277265375
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","wheat",8.13811483983515
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","soybean",13.5865261453767
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","rice",2.20942859068946
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","maize",-0.189145524713661
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","wheat",8.8585034488949
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","soybean",19.2185162953358
"agriculture",2064,"global","crover","gfdl-esm4","ssp126","rice",3.28991756376732
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","maize",0.907290359018108
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","wheat",5.97337238540482
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","soybean",20.4732677121373
"agriculture",2065,"global","crover","gfdl-esm4","ssp126","rice",1.70413068222683
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","maize",-0.98834884472307
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","wheat",3.94401725097029
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","soybean",13.618294345678
"agriculture",2066,"global","crover","gfdl-esm4","ssp126","rice",3.28825963403515
"agriculture",2067,"global","crover","gfdl-esm4","ssp126","maize",0.0432889323553308
