"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",2041,"global","crover","gfdl-esm4","ssp126","rice",1.36207785602073
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","maize",0.809039701112213
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","wheat",4.63584939631582
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","soybean",12.5808327923506
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","rice",4.4010010470997
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","maize",-0.698907415706627
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","wheat",8.81770962396115
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","soybean",15.501144973804
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","rice",4.62623916301266
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","maize",0.237484640263151
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","wheat",12.171861223078
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","soybean",12.7627525647847
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","rice",6.30604202180564
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","maize",0.15391533250521
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","wheat",7.49246700781044
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","soybean",12.0275778329176
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","rice",0.838449919305306
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","maize",-1.98485222552903
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","wheat",1.48111868821654
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","soybean",9.50297709568923
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","rice",1.83833652238958
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","maize",-1.90658877445607
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","wheat",3.47732405799708
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","soybean",9.62283645890513
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","rice",5.65013607267041
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","maize",0.649638615088109
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","wheat",8.60190384095938
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","soybean",11.0695218486446
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","rice",4.63174958730718
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","maize",-0.729161682158039
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","wheat",5.98208616591178
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","soybean",12.5891902849087
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","rice",2.12750690988582
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","maize",-2.10082934047614
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","wheat",7.78125461756585
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","soybean",8.77079695398194
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","rice",2.84196195273423
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","maize",1.08660016747031
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","wheat",5.75253664406379
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","soybean",16.3036652465349
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","rice",3.38693981517503
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","maize",-1.32374890200676
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","wheat",6.19161685129799
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","soybean",11.878902688246
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","rice",5.05082393133802
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","maize",-1.07096502722932
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","wheat",6.95927169234369
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","soybean",13.8496270712797
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","rice",5.14869163381372
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","maize",-1.1100547264941
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","wheat",4.8473807112025
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","soybean",12.82569890278
"agriculture",2054,"global","crover","gfdl-esm4","ssp126","rice",0.987780448425182
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","maize",-0.840619763816107
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","wheat",7.35779490773062
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","soybean",13.1338318390332
"agriculture",2055,"global","crover","gfdl-esm4","ssp126","rice",1.05652500217488
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","maize",0.664289602610573
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","wheat",8.62858788226211
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","soybean",12.9125570244844
"agriculture",2056,"global","crover","gfdl-esm4","ssp126","rice",0.263739454743952
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","maize",-0.383958718804106
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","wheat",3.08487326437573
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","soybean",17.9403576825075
"agriculture",2057,"global","crover","gfdl-esm4","ssp126","rice",1.75926895467565
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","maize",-0.0230206077293187
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","wheat",6.25575959008169
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","soybean",21.737561299705
"agriculture",2058,"global","crover","gfdl-esm4","ssp126","rice",6.56337235682104
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","maize",-0.505261728099475
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","wheat",10.1512881869993
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","soybean",14.3456254464578
"agriculture",2059,"global","crover","gfdl-esm4","ssp126","rice",4.66363809978973
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","maize",0.846967963846885
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","wheat",10.8424473189425
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","soybean",9.87678189278097
"agriculture",2060,"global","crover","gfdl-esm4","ssp126","rice",2.2843474290085
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","maize",-1.16933006354907
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","wheat",3.1682944275551
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","soybean",16.0202837436064
"agriculture",2061,"global","crover","gfdl-esm4","ssp126","rice",1.77670648755759
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","maize",-1.75226941403943
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","wheat",3.77529941528871
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","soybean",17.1158786655955
"agriculture",2062,"global","crover","gfdl-esm4","ssp126","rice",-0.958797349563074
"agriculture",2063,"global","crover","gfdl-esm4","ssp126","maize",-2.07438891585732
