"regions","spatial_scale","climates","type","probas","time_window"
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.3333,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.11113889,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",1,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",1,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.11108889,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Amsterdam and Saint Paul Islands","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_two_5_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_two_10_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.5,30
"Andaman and Nicobar","regions","gfdl-esm4 ssp585","at_least_two_10_down",0,30
