"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Croatia","ipsl-cm6a-lr ssp585","shock_0.25",0.999999487878914,0.894408451854455,0.206594988771265,30
"Cuba","gfdl-esm4 ssp126","shock_0.25",0.99732679394611,0.615923201427325,0,30
"Cuba","gfdl-esm4 ssp585","shock_0.25",0.997693014053489,0.344910147996735,0.0186423356603918,30
"Cuba","ipsl-cm6a-lr ssp126","shock_0.25",1,0.176501421432922,0,30
"Cuba","ipsl-cm6a-lr ssp585","shock_0.25",1,0.603446785119209,0.0420664864903466,30
"Cyprus","gfdl-esm4 ssp126","shock_0.25",0.998219504653605,0.554921600322138,0.0634504174145998,30
"Cyprus","gfdl-esm4 ssp585","shock_0.25",0.999978469496909,0.766121870975488,0.124749152033852,30
"Cyprus","ipsl-cm6a-lr ssp126","shock_0.25",1,0.291701764266469,0.0161583839999999,30
"Cyprus","ipsl-cm6a-lr ssp585","shock_0.25",0.999333099574997,0.351951898067542,0.0171722556734,30
"Czech Republic","gfdl-esm4 ssp126","shock_0.25",0.999964528310623,0.729592161746224,0.142799721593536,30
"Czech Republic","gfdl-esm4 ssp585","shock_0.25",0.999880163617283,0.570922775435377,0.0346668459257243,30
"Czech Republic","ipsl-cm6a-lr ssp126","shock_0.25",1,0.612732352189011,0.0795680448117587,30
"Czech Republic","ipsl-cm6a-lr ssp585","shock_0.25",0.999983955847261,0.751822711860473,0.149763669047495,30
"Democratic Republic of the Congo","gfdl-esm4 ssp126","shock_0.25",1,0.793244180721989,0.10295568633802,30
"Democratic Republic of the Congo","gfdl-esm4 ssp585","shock_0.25",0.999035298805142,0.465613898057879,0.0341154103457721,30
"Democratic Republic of the Congo","ipsl-cm6a-lr ssp126","shock_0.25",1,0.70445434428009,0.195644835590346,30
"Democratic Republic of the Congo","ipsl-cm6a-lr ssp585","shock_0.25",1,0.777278787428954,0.0803626273467862,30
"Denmark","gfdl-esm4 ssp126","shock_0.25",0.999968380046688,0.628176020052483,0.00227250000000001,30
"Denmark","gfdl-esm4 ssp585","shock_0.25",0.999956261552058,0.628068653947908,0.0474714601985933,30
"Denmark","ipsl-cm6a-lr ssp126","shock_0.25",0.999825482759638,0.214586825017661,0,30
"Denmark","ipsl-cm6a-lr ssp585","shock_0.25",1,0.508917319037885,0.0150961155829185,30
"Djibouti","gfdl-esm4 ssp126","shock_0.25",0.980815043933915,0.114186358,0,30
"Djibouti","gfdl-esm4 ssp585","shock_0.25",1,0.4007892175144,0,30
"Djibouti","ipsl-cm6a-lr ssp126","shock_0.25",0.999955987571346,0.328234632814889,-6.66133814775094e-16,30
"Djibouti","ipsl-cm6a-lr ssp585","shock_0.25",1,0.0666599999999998,-2.22044604925031e-16,30
"Dominica","gfdl-esm4 ssp126","shock_0.25",1,0,NA,30
"Dominica","gfdl-esm4 ssp585","shock_0.25",1,0,NA,30
"Dominica","ipsl-cm6a-lr ssp126","shock_0.25",0.990699975926429,0,NA,30
"Dominica","ipsl-cm6a-lr ssp585","shock_0.25",0.97416737485964,0,NA,30
"Dominican Republic","gfdl-esm4 ssp126","shock_0.25",1,0.335974022495643,0,30
"Dominican Republic","gfdl-esm4 ssp585","shock_0.25",1,0.522288766303816,0.0300929908019597,30
"Dominican Republic","ipsl-cm6a-lr ssp126","shock_0.25",1,0.223861182398751,0,30
"Dominican Republic","ipsl-cm6a-lr ssp585","shock_0.25",1,0.575274905091192,0.0597780232078391,30
"East Timor","gfdl-esm4 ssp126","shock_0.25",1,0.934067241093842,0.537868615415448,30
"East Timor","gfdl-esm4 ssp585","shock_0.25",0.999567117020343,0.758819508788508,0.274995,30
"East Timor","ipsl-cm6a-lr ssp126","shock_0.25",0.999867138696594,0.578173943719391,0.0324050924999999,30
"East Timor","ipsl-cm6a-lr ssp585","shock_0.25",0.99884419713447,0.436704229637839,0.0238541590869557,30
"Ecuador","gfdl-esm4 ssp126","shock_0.25",1,0.931006464803166,0.482850717768508,30
"Ecuador","gfdl-esm4 ssp585","shock_0.25",0.999999709241325,0.980658448901224,0.669264858739875,30
"Ecuador","ipsl-cm6a-lr ssp126","shock_0.25",1,0.793258253490258,0.111761678315004,30
"Ecuador","ipsl-cm6a-lr ssp585","shock_0.25",1,0.999795774081176,0.953933512500958,30
"Egypt","gfdl-esm4 ssp126","shock_0.25",1,0.840107846258206,0.116254760782248,30
"Egypt","gfdl-esm4 ssp585","shock_0.25",0.999998791131103,0.906419883250294,0.32175504109513,30
"Egypt","ipsl-cm6a-lr ssp126","shock_0.25",0.99999786189594,0.923918455453083,0.445082183914292,30
"Egypt","ipsl-cm6a-lr ssp585","shock_0.25",0.999900265849595,0.560958526863525,0.0243497049060306,30
"El Salvador","gfdl-esm4 ssp126","shock_0.25",1,0.70733987226445,0.106763723233147,30
"El Salvador","gfdl-esm4 ssp585","shock_0.25",0.999998165691326,0.952972947594224,0.433199353902301,30
"El Salvador","ipsl-cm6a-lr ssp126","shock_0.25",1,0.880026617490027,0.266345667653354,30
"El Salvador","ipsl-cm6a-lr ssp585","shock_0.25",1,0.983031565285741,0.583808632714121,30
"Equatorial Guinea","gfdl-esm4 ssp126","shock_0.25",1,0.845038223125,0,30
"Equatorial Guinea","gfdl-esm4 ssp585","shock_0.25",1,0.318175,0.022725,30
"Equatorial Guinea","ipsl-cm6a-lr ssp126","shock_0.25",1,0,0,30
"Equatorial Guinea","ipsl-cm6a-lr ssp585","shock_0.25",1,0,0,30
