"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Pakistan","ipsl-cm6a-lr ssp585","0.75",0.456333955923004,0.0777516945322031,30,0.48646315433161,0.963732024973685,1,0.198625696897647,0.00504949499999974
"Palau","gfdl-esm4 ssp126","0.75",0,NA,30,0,0,0.75,0,NA
"Palau","gfdl-esm4 ssp585","0.75",0,NA,30,0,0,0.8125,0,NA
"Palau","ipsl-cm6a-lr ssp126","0.75",0,NA,30,0,0.1667,1,0,NA
"Palau","ipsl-cm6a-lr ssp585","0.75",0,NA,30,0,0,1,0,NA
"Panama","gfdl-esm4 ssp126","0.75",0.109261983618,0,30,0.20006199361902,0.83871664830365,1,0.0521341275859851,0
"Panama","gfdl-esm4 ssp585","0.75",0.29290202,0.02019798,30,0.134813534790496,0.867320582108065,1,0.066751491697278,0
"Panama","ipsl-cm6a-lr ssp126","0.75",0.184133839746205,-2.22044604925031e-16,30,0.0844832060901515,0.985373177707376,1,0.128958104650668,0
"Panama","ipsl-cm6a-lr ssp585","0.75",0.509839106986774,0.0151530299999999,30,0.561889199196045,0.973857422410536,1,0.205138387901664,0
"Papua New Guinea","gfdl-esm4 ssp126","0.75",0.145,0.01,30,0.0595,0.763804,1,0.1,0
"Papua New Guinea","gfdl-esm4 ssp585","0.75",0,0,30,0,0.36,1,0,0
"Papua New Guinea","ipsl-cm6a-lr ssp126","0.75",0,0,30,0.02,0.25003,0.87200512,0,0
"Papua New Guinea","ipsl-cm6a-lr ssp585","0.75",0,0,30,0.264,0.4168,1,0,0
"Paraguay","gfdl-esm4 ssp126","0.75",0.782186448806541,0.188426502878914,30,0.159252702119679,0.688393693174014,1,0.0390750101768798,0.00100989899999993
"Paraguay","gfdl-esm4 ssp585","0.75",0.560879228985475,0.0760899505997158,30,0.803152656188397,0.963139914526921,1,0.285388415153361,0.0177759999999999
"Paraguay","ipsl-cm6a-lr ssp126","0.75",0.177279148637257,0.00725620450298459,30,0.20646244498934,0.865141022957781,0.992057780226507,0.0099999999999999,0
"Paraguay","ipsl-cm6a-lr ssp585","0.75",0.913976034039306,0.343064747942222,30,0.201339289687936,0.969164664351869,0.999984594065011,0.26602596691119,0.014428188148
"Peru","gfdl-esm4 ssp126","0.75",0.40002399723906,0.03029697,30,0.417589506367528,0.914711714692251,1,0.0561151130444992,0.000917998190999914
"Peru","gfdl-esm4 ssp585","0.75",0.160175424085495,0.00367199276399988,30,0.236240845443816,0.861188477381648,1,0.111623373482714,0.00550124738057034
"Peru","ipsl-cm6a-lr ssp126","0.75",0.129053984422,0,30,0.2100352402455,0.930773626156444,1,0.0479203983443867,0
"Peru","ipsl-cm6a-lr ssp585","0.75",0.752503509254391,0.158017782769143,30,0.306755414141513,0.838843302520743,1,0.018278353964438,0
"Philippines","gfdl-esm4 ssp126","0.75",0.128963325867431,0,30,0.2916625,0.628082541089875,1,0,0
"Philippines","gfdl-esm4 ssp585","0.75",0.1023498313468,0,30,0.251090233644437,0.834331572778936,1,0.0700809924058793,0
"Philippines","ipsl-cm6a-lr ssp126","0.75",0,0,30,0.01652562,0.802090264669545,0.689120433505489,0.0644199086858986,0
"Philippines","ipsl-cm6a-lr ssp585","0.75",0.147007968844,0,30,0.20757862233591,0.807465647480367,1,0.0299920311948801,0
