"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
1144,"gfdl-esm4 ssp585","0.5",0.0744291999999996,0.00199999999999978,30,0.104115734234491,0.93221691124456,0.93358775643155
1144,"ipsl-cm6a-lr ssp126","0.5",0.0748831359999999,0,30,0.0946841468967999,0.820644043770578,1
1144,"ipsl-cm6a-lr ssp585","0.5",0.535205212868667,0.0232026399999998,30,0.267839830558546,0.860539781446929,1
1145,"gfdl-esm4 ssp126","0.5",0.15328,0,30,0.2336977908352,0.776845798336,1
1145,"gfdl-esm4 ssp585","0.5",0.1355518,0,30,0.120404539066591,0.89832536686684,1
1145,"ipsl-cm6a-lr ssp126","0.5",0.0560031999999999,0,30,0.0681248404,0.784764243094417,0.98979714907705
1145,"ipsl-cm6a-lr ssp585","0.5",0.407370974649933,0,30,0.471975315557747,0.860539781446929,1
1170,"gfdl-esm4 ssp126","0.5",0.618178395461025,0.138282183338295,30,0.282593682055801,0.991070481237015,0.98943176126735
1170,"gfdl-esm4 ssp585","0.5",0.342439229697934,0.0352485549849405,30,0.252862675775398,0.967573727945651,1
1170,"ipsl-cm6a-lr ssp126","0.5",0.294565725408327,0.0282771719999999,30,0.176234326945728,0.95855326870134,0.966007656186237
1170,"ipsl-cm6a-lr ssp585","0.5",0.992822123563384,0.644178460099912,30,0.484083834811696,0.990133005574437,1
1173,"gfdl-esm4 ssp126","0.5",0.250144915562387,0.0129057660434159,30,0.216432281696921,0.911635470617979,0.991176555225608
1173,"gfdl-esm4 ssp585","0.5",0.161407479120145,0,30,0.259707199081997,0.972661588191683,1
1173,"ipsl-cm6a-lr ssp126","0.5",0.1134512,0,30,0.240980463303339,0.862766890053119,1
1173,"ipsl-cm6a-lr ssp585","0.5",0.189446878073761,0,30,0.357668873558359,0.944825559800314,1
4,"gfdl-esm4 ssp126","0.75",0.950202527791917,0.641123725873318,30,0.104190064099906,0.931775519790265,0.999978146017172
4,"gfdl-esm4 ssp585","0.75",0.453146325041297,0.0242375759999999,30,0.329817870358771,0.999977991510348,1
4,"ipsl-cm6a-lr ssp126","0.75",0.364787359937623,0.0298033761426164,30,0.188955846308744,0.849446195528558,0.995031043928657
