"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down"
"Djibouti","gfdl-esm4 ssp126",0.068175,0,30,0.106323129321319
"Djibouti","gfdl-esm4 ssp585",0.068175,0,30,0.173963996573194
"Djibouti","ipsl-cm6a-lr ssp126",0.068175,0,30,0.022725
"Djibouti","ipsl-cm6a-lr ssp585",0.022725,0,30,0.022725
"Dominica","gfdl-esm4 ssp126",0,0,30,0
"Dominica","gfdl-esm4 ssp585",0,0,30,0
"Dominica","ipsl-cm6a-lr ssp126",0,0,30,0.05556111
"Dominica","ipsl-cm6a-lr ssp585",0,0,30,0.12155138875
"Dominican Republic","gfdl-esm4 ssp126",0.586768595,0.04545,30,0.237580785
"Dominican Republic","gfdl-esm4 ssp585",0.17353719,0,30,0.355027699915359
"Dominican Republic","ipsl-cm6a-lr ssp126",0.135581162051546,0,30,0.28197671406865
"Dominican Republic","ipsl-cm6a-lr ssp585",0.398938644505409,0.0395633988955394,30,0.430215564296257
"Doumeira Islands","gfdl-esm4 ssp126",0,0,30,0
"Doumeira Islands","gfdl-esm4 ssp585",0,0,30,0.0625
"Doumeira Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"Doumeira Islands","ipsl-cm6a-lr ssp585",0,0,30,0
"East Timor","gfdl-esm4 ssp126",0.504131405,0,30,0.724778260284917
"East Timor","gfdl-esm4 ssp585",0.318591943740401,0.022725,30,0.444760088543478
"East Timor","ipsl-cm6a-lr ssp126",0,0,30,0.272343466701532
"East Timor","ipsl-cm6a-lr ssp585",0.0492354898545194,0,30,0.20637068901869
"Easter Island","gfdl-esm4 ssp126",0,0,30,0.0625
"Easter Island","gfdl-esm4 ssp585",0,0,30,0
"Easter Island","ipsl-cm6a-lr ssp126",0,0,30,0
"Easter Island","ipsl-cm6a-lr ssp585",0.0416749999999999,0,30,0
"Ecuador","gfdl-esm4 ssp126",0.723388902584817,0.268761778105301,30,0.322494736019454
"Ecuador","gfdl-esm4 ssp585",0.821830853327992,0.433976792098537,30,0.345386607866614
"Ecuador","ipsl-cm6a-lr ssp126",0.588443666016943,0.0524536217688021,30,0.266977838661854
"Ecuador","ipsl-cm6a-lr ssp585",0.994723052676152,0.83419814521436,30,0.839333406982075
"Egypt","gfdl-esm4 ssp126",0.194800010585983,0.00075108942900004,30,0.122808254984822
"Egypt","gfdl-esm4 ssp585",0.476619249329539,0.0596956501027698,30,0.451057061839957
"Egypt","ipsl-cm6a-lr ssp126",0.913938812582551,0.429244164033213,30,0.362943366842055
"Egypt","ipsl-cm6a-lr ssp585",0.123941397725171,0.00450202349135709,30,0.47856721934238
"El Salvador","gfdl-esm4 ssp126",0.559806834186017,0.0730387839620296,30,0.0561680826729155
"El Salvador","gfdl-esm4 ssp585",0.839210115083875,0.349237597713801,30,0.063002116962497
"El Salvador","ipsl-cm6a-lr ssp126",0.730247259173369,0.117331218638145,30,0.121596251853306
"El Salvador","ipsl-cm6a-lr ssp585",0.662579652874319,0.103987688891749,30,0.806483767165683
