"regions","climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
"Guinea-Bissau","gfdl-esm4 ssp585","shock_0.25",0.0299920311948801,0.0299920311948801,30
"Guinea-Bissau","ipsl-cm6a-lr ssp126","shock_0.25",0.786976895670274,0.786976895670274,30
"Guinea-Bissau","ipsl-cm6a-lr ssp585","shock_0.25",0.268851810750013,0.268851810750013,30
"Guyana","gfdl-esm4 ssp126","shock_0.25",0.568434003241296,0.568434003241296,30
"Guyana","gfdl-esm4 ssp585","shock_0.25",0.372959798915393,0.372959798915393,30
"Guyana","ipsl-cm6a-lr ssp126","shock_0.25",0.406480905329374,0.406480905329374,30
"Guyana","ipsl-cm6a-lr ssp585","shock_0.25",0.277486308324741,0.277486308324741,30
"Haiti","gfdl-esm4 ssp126","shock_0.25",0.0819419427135,0.0819419427135,30
"Haiti","gfdl-esm4 ssp585","shock_0.25",0.228015580802477,0.228015580802477,30
"Haiti","ipsl-cm6a-lr ssp126","shock_0.25",0.132564862404794,0.132564862404794,30
